"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","MAN_SALE_AMT_10G","MAN_SALE_AMT_20G","MAN_SALE_AMT_30G","MAN_SALE_AMT_40G","MAN_SALE_AMT_50G","MAN_SALE_AMT_60GU","WMAN_SALE_AMT_10G","WMAN_SALE_AMT_20G","WMAN_SALE_AMT_30G","WMAN_SALE_AMT_40G","WMAN_SALE_AMT_50G","WMAN_SALE_AMT_60GU","MAN_APV_CNT_10G","MAN_APV_CNT_20G","MAN_APV_CNT_30G","MAN_APV_CNT_40G","MAN_APV_CNT_50G","MAN_APV_CNT_60GU","WMAN_APV_CNT_10G","WMAN_APV_CNT_20G","WMAN_APV_CNT_30G","WMAN_APV_CNT_40G","WMAN_APV_CNT_50G","WMAN_APV_CNT_60GU","MAN_PRICE_10G","MAN_PRICE_20G","MAN_PRICE_30G","MAN_PRICE_40G","MAN_PRICE_50G","MAN_PRICE_60GU","WMAN_PRICE_10G","WMAN_PRICE_20G","WMAN_PRICE_30G","WMAN_PRICE_40G","WMAN_PRICE_50G","WMAN_PRICE_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","사직동","11010530100041000001","경양식 전문점","양식","음식","0","0","591372.91","4842590.44","3343865.95","0","0","521799.63","946486.54","2442312.15","560934.6","0","0","0","28","126","28","0","0","14","28","70","14","0","0","0","21120.46","38433.26","119423.78","0","0","37271.4","33803.09","34890.17","40066.76","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","스포츠용품 판매","운동/경기용품","소매","0","0","758287.77","2573906.35","0","0","0","0","234962.4","2029220.78","0","0","0","0","22","44","0","0","0","0","11","11","0","0","0","0","34467.63","58497.87","0","0","0","0","21360.22","184474.62","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","안경점","사진/광학/정밀기기","소매","0","10322073.41","0","0","0","5379108.67","0","0","0","0","0","0","0","15","0","0","0","15","0","0","0","0","0","0","0","688138.23","0","0","0","358607.24","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","여관/여인숙","모텔/여관/여인숙","숙박","0","0","895699.59","5430178.75","0","1007662.04","0","223924.9","1007662.03","0","0","0","0","0","11","88","0","22","0","11","11","0","0","0","0","0","81427.24","61706.58","0","45802.82","0","20356.81","91605.64","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","일식 전문점","일식","음식","0","653528.08","1240369.64","453468.46","0","0","0","2694136.19","840250.4","1933909.64","0","0","0","13","39","13","0","0","0","39","26","26","0","0","0","50271.39","31804.35","34882.19","0","0","0","69080.42","32317.32","74381.14","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","자동차경정비","자동차/이륜차","생활서비스","0","541377.87","40125123.25","23362259.77","20900795.04","9654572.05","0","0","5684467.67","10881695.24","5052860.15","902296.45","0","18","198","180","108","72","0","0","54","90","36","36","0","30076.55","202652.14","129790.33","193525.88","134091.28","0","0","105267.92","120907.72","140357.23","25063.79","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","커피전문점","다방/커피숍/카페","음식","0","186448.37","983515.16","293656.17","177125.95","365904.93","0","0","286664.38","426500.66","0","0","0","23","92","46","23","23","0","0","46","46","0","0","0","8106.45","10690.38","6383.83","7701.13","15908.91","0","0","6231.83","9271.75","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","프랜차이즈_편의점","프랜차이즈_종합소매점","프랜차이즈_소매","0","2232884.89","5262867.57","7941257.16","2767398.52","214479.51","0","430491","4705833.67","900047.94","831108.1","210649.52","0","407","857","961","435","45","0","105","661","150","105","45","0","5486.2","6141.04","8263.54","6361.84","4766.21","0","4099.91","7119.26","6000.32","7915.32","4681.1","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100041000001","한식/백반 전문점","한식","음식","0","99738.93","0","398955.75","0","0","0","54403.07","217612.22","0","0","0","0","9","0","54","0","0","0","9","18","0","0","0","0","11082.1","0","7388.07","0","0","0","6044.79","12089.57","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530300061000001","경양식 전문점","양식","음식","0","1072588.13","6392045.43","1340735.15","202922.07","130449.9","0","9667787.52","9030032.43","2529278.74","1724837.63","1000115.96","0","28","309","43","14","14","0","451","422","99","98","28","0","38306.72","20686.23","31179.89","14494.43","9317.85","0","21436.34","21398.18","25548.27","17600.38","35718.43","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530300061000001","꽃집/꽃배달","선물/팬시/기념품","소매","0","0","7713954.96","2683813.51","0","2089196.14","0","723183.28","5544405.13","0","0","401768.49","0","0","192","48","0","16","0","16","128","0","0","16","0","0","40176.85","55912.78","0","130574.76","0","45198.96","43315.67","0","0","25110.53","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530300061000001","미용실","이/미용/건강","생활서비스","0","245669.18","1310235.64","2538581.54","1146456.18","0","0","0","0","245669.18","0","0","0","16","64","80","16","0","0","0","0","16","0","0","0","15354.32","20472.43","31732.27","71653.51","0","0","0","0","15354.32","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530300061000001","병원-치과","병원","의료","0","0","5500000.01","68386554.59","11348739.51","0","0","46764705.89","0","42542016.8","0","0","0","0","126","420","252","0","0","420","0","126","0","0","0","0","43650.79","162825.13","45034.68","0","0","111344.54","0","337635.05","0","0","2016-03-30 오후 6:39:20"
